iter	Passed	Remaining
0	22	18276
1	43	17330
2	63	16937
3	83	16660
4	101	16225
5	120	16105
6	141	16101
7	162	16207
8	187	16601
9	213	16968
10	234	16979
11	256	16971
12	278	17002
13	300	17007
14	322	17005
15	345	17040
16	367	17064
17	389	17055
18	409	16973
19	430	16909
20	452	16898
21	472	16835
22	494	16833
23	516	16813
24	534	16703
25	555	16655
26	579	16732
27	593	16480
28	614	16459
29	637	16484
30	663	16582
31	686	16595
32	708	16587
33	728	16550
34	747	16476
35	766	16395
36	786	16342
37	808	16349
38	832	16368
39	854	16368
40	882	16471
41	904	16458
42	928	16467
43	950	16469
44	975	16504
45	997	16480
46	1023	16521
47	1046	16524
48	1069	16522
49	1092	16521
50	1115	16510
51	1137	16495
52	1160	16484
53	1182	16472
54	1207	16492
55	1230	16483
56	1253	16473
57	1276	16459
58	1299	16449
59	1319	16400
60	1340	16369
61	1361	16334
62	1383	16320
63	1404	16285
64	1425	16255
65	1447	16230
66	1473	16252
67	1499	16272
68	1521	16251
69	1542	16214
70	1564	16199
71	1586	16173
72	1613	16198
73	1638	16208
74	1660	16180
75	1684	16175
76	1706	16152
77	1730	16153
78	1754	16142
79	1777	16134
80	1801	16127
81	1824	16112
82	1850	16116
83	1871	16090
84	1893	16060
85	1915	16034
86	1936	16005
87	1958	15981
88	1980	15956
89	2004	15943
90	2026	15924
91	2048	15899
92	2071	15879
93	2092	15850
94	2112	15812
95	2132	15773
96	2158	15773
97	2181	15759
98	2204	15740
99	2226	15717
100	2250	15705
101	2274	15696
102	2297	15678
103	2319	15655
104	2341	15632
105	2364	15615
106	2386	15587
107	2407	15557
108	2428	15526
109	2449	15499
110	2472	15478
111	2494	15459
112	2517	15436
113	2539	15416
114	2561	15388
115	2581	15354
116	2602	15325
117	2626	15311
118	2647	15287
119	2669	15262
120	2692	15242
121	2714	15218
122	2736	15195
123	2758	15171
124	2765	15065
125	2787	15046
126	2811	15031
127	2832	15005
128	2854	14981
129	2876	14958
130	2897	14932
131	2919	14909
132	2941	14886
133	2965	14870
134	2986	14844
135	3008	14822
136	3028	14790
137	3049	14763
138	3071	14739
139	3093	14718
140	3115	14695
141	3138	14674
142	3158	14646
143	3182	14632
144	3204	14609
145	3227	14588
146	3248	14563
147	3270	14541
148	3293	14522
149	3315	14499
150	3336	14474
151	3359	14452
152	3383	14440
153	3406	14420
154	3427	14394
155	3449	14373
156	3471	14348
157	3494	14330
158	3515	14304
159	3536	14278
160	3557	14253
161	3579	14228
162	3601	14208
163	3621	14177
164	3642	14151
165	3661	14116
166	3681	14087
167	3701	14057
168	3720	14024
169	3740	13995
170	3762	13970
171	3783	13946
172	3804	13920
173	3824	13891
174	3845	13865
175	3864	13831
176	3884	13805
177	3908	13789
178	3929	13763
179	3949	13734
180	3970	13708
181	3991	13685
182	4013	13663
183	4035	13642
184	4056	13617
185	4079	13597
186	4099	13570
187	4121	13548
188	4143	13526
189	4164	13502
190	4188	13485
191	4211	13469
192	4234	13448
193	4255	13424
194	4277	13402
195	4297	13373
196	4316	13343
197	4335	13313
198	4356	13287
199	4376	13260
200	4397	13235
201	4420	13217
202	4442	13196
203	4466	13180
204	4487	13156
205	4509	13134
206	4532	13116
207	4555	13098
208	4578	13078
209	4600	13057
210	4623	13037
211	4645	13016
212	4667	12993
213	4690	12974
214	4711	12951
215	4732	12925
216	4751	12896
217	4771	12869
218	4792	12846
219	4813	12821
220	4836	12802
221	4857	12778
222	4878	12754
223	4898	12728
224	4922	12710
225	4942	12685
226	4965	12665
227	4986	12641
228	5006	12614
229	5027	12589
230	5046	12561
231	5066	12535
232	5089	12515
233	5111	12493
234	5132	12470
235	5153	12446
236	5174	12422
237	5196	12402
238	5219	12382
239	5241	12362
240	5262	12336
241	5287	12323
242	5321	12329
243	5360	12347
244	5386	12333
245	5408	12311
246	5428	12286
247	5451	12266
248	5473	12244
249	5495	12221
250	5517	12199
251	5539	12178
252	5561	12155
253	5584	12136
254	5607	12117
255	5630	12095
256	5652	12074
257	5675	12054
258	5696	12030
259	5716	12005
260	5736	11979
261	5756	11952
262	5775	11924
263	5797	11901
264	5817	11875
265	5837	11850
266	5861	11832
267	5881	11806
268	5900	11779
269	5920	11753
270	5942	11731
271	5965	11711
272	5985	11686
273	6004	11658
274	6024	11632
275	6044	11607
276	6065	11583
277	6094	11575
278	6123	11566
279	6143	11541
280	6165	11519
281	6187	11497
282	6208	11474
283	6229	11450
284	6252	11429
285	6271	11403
286	6292	11378
287	6313	11356
288	6334	11331
289	6353	11304
290	6374	11280
291	6396	11260
292	6416	11233
293	6435	11207
294	6455	11181
295	6475	11157
296	6495	11132
297	6515	11106
298	6534	11080
299	6555	11056
300	6575	11031
301	6594	11006
302	6614	10979
303	6634	10956
304	6658	10936
305	6683	10920
306	6706	10900
307	6727	10877
308	6748	10854
309	6769	10831
310	6790	10808
311	6810	10783
312	6832	10761
313	6852	10737
314	6872	10711
315	6892	10688
316	6915	10667
317	6935	10643
318	6957	10621
319	6977	10597
320	6997	10572
321	7018	10549
322	7039	10526
323	7062	10505
324	7085	10486
325	7109	10467
326	7138	10456
327	7162	10438
328	7185	10417
329	7206	10394
330	7227	10372
331	7249	10350
332	7270	10327
333	7291	10303
334	7311	10280
335	7333	10257
336	7356	10237
337	7377	10214
338	7400	10194
339	7421	10172
340	7445	10152
341	7467	10131
342	7491	10112
343	7511	10088
344	7530	10063
345	7552	10040
346	7571	10015
347	7590	9989
348	7610	9965
349	7633	9945
350	7653	9921
351	7675	9899
352	7698	9879
353	7717	9854
354	7738	9831
355	7759	9808
356	7783	9789
357	7803	9765
358	7823	9741
359	7846	9721
360	7868	9699
361	7888	9675
362	7908	9651
363	7928	9628
364	7949	9604
365	7970	9582
366	7993	9561
367	8013	9538
368	8034	9515
369	8055	9491
370	8075	9468
371	8094	9443
372	8114	9419
373	8135	9397
374	8157	9375
375	8178	9352
376	8198	9329
377	8219	9306
378	8240	9284
379	8261	9261
380	8282	9239
381	8302	9215
382	8322	9192
383	8345	9171
384	8366	9148
385	8385	9124
386	8405	9100
387	8426	9077
388	8446	9054
389	8465	9030
390	8486	9007
391	8509	8987
392	8529	8963
393	8551	8942
394	8572	8919
395	8596	8900
396	8618	8879
397	8643	8860
398	8666	8839
399	8693	8823
400	8715	8802
401	8739	8782
402	8761	8761
403	8780	8737
404	8800	8713
405	8821	8691
406	8844	8670
407	8865	8648
408	8886	8626
409	8906	8602
410	8927	8580
411	8947	8557
412	8968	8534
413	8989	8511
414	9011	8489
415	9030	8466
416	9050	8442
417	9069	8419
418	9090	8396
419	9116	8378
420	9144	8362
421	9166	8341
422	9188	8319
423	9208	8296
424	9229	8273
425	9251	8252
426	9274	8232
427	9298	8212
428	9322	8192
429	9344	8170
430	9365	8148
431	9387	8127
432	9408	8105
433	9430	8083
434	9453	8062
435	9474	8040
436	9496	8018
437	9515	7995
438	9536	7972
439	9556	7949
440	9578	7927
441	9599	7905
442	9618	7881
443	9638	7858
444	9660	7836
445	9682	7815
446	9705	7795
447	9727	7773
448	9747	7750
449	9771	7729
450	9792	7708
451	9813	7686
452	9834	7663
453	9858	7643
454	9879	7621
455	9901	7599
456	9926	7580
457	9948	7559
458	9968	7536
459	9988	7513
460	10008	7490
